topics,ENreadability,DEreadability,ENtechnicality,DEtechnicality,user,ID
['Radiology'],4,4,7,8,650,33348406
['Cardiology'],12,13,9,8,502,33258988
['Dermatology'],13,13,4,4,310,33254257
['Internal Medicine'],18,16,6,5,869,33231737
['Anesthesiology'],19,15,3,6,985,32930805
['Pediatrics'],13,12,6,6,500,32886938
['Urology'],9,11,7,6,580,32494863
['Ophthalmology'],11,11,5,6,450,32350611
['Urology'],13,16,5,4,843,32347325
['Family Practice'],10,8,5,4,964,32325534
['Internal Medicine'],13,13,8,8,456,32048012
['Internal Medicine'],15,12,5,6,463,31388735
['Anesthesiology'],8,7,7,4,190,34734399
['Anesthesiology'],13,13,8,16,151,34704245
['Dermatology'],16,16,4,3,36,34702055
['Radiology'],12,11,5,7,50,34687027
['Internal Medicine'],17,18,9,8,483,35880825
['Surgery'],15,15,4,5,909,34000746
['Ophthalmology'],7,6,6,5,422,32659842
['Family Practice'],15,14,11,9,101,32456578
['Internal Medicine'],12,12,7,5,121,32072189
['Urology'],3,2,9,6,591,34398254
['Surgery'],14,12,6,4,460,34338829
['Psychiatry'],15,14,2,4,15,34297141
['Family Practice'],10,10,8,6,408,34231383
['Pathology'],7,6,4,0,181,34156526
['Otolaryngology'],15,13,5,4,518,34106281
['Psychiatry'],14,15,6,4,360,33902126
['Obstetrics'],14,13,4,5,60,33752247
['Obstetrics'],15,14,4,5,878,33730222
['Emergency Medicine'],20,19,6,5,503,33599782
['Surgery'],16,13,6,6,351,33566160
['Anesthesiology'],11,9,6,13,555,33847764
['Cardiology'],14,13,9,8,580,33538631
"['Surgery', 'Urology']",12,9,6,2,955,33533961
['Neurology'],12,13,6,6,673,33459797
['Cardiology'],11,10,9,6,475,33449234
['Anesthesiology'],12,13,7,14,716,33315142
['Cardiology'],10,9,7,6,359,33289046
['Obstetrics'],4,3,6,6,628,33276409
['Ophthalmology'],10,12,6,6,626,33231276
['Urology'],20,20,4,6,716,33044635
['Psychiatry'],15,12,6,6,908,32880658
['Emergency Medicine'],8,10,9,9,94,32873174
['Ophthalmology'],9,8,6,7,411,32818999
['Public Health'],16,15,7,5,114,32791552
['Psychiatry'],5,4,9,9,15,32642948
['Emergency Medicine'],18,18,5,2,506,32316038
['Dermatology'],8,7,6,5,435,31529446
['Pediatrics'],4,3,10,6,133,30995688
['Psychiatry'],11,13,8,5,466,30802922
['Emergency Medicine'],18,19,10,7,891,29972850
['Emergency Medicine'],19,16,6,7,59,34670308
['Urology'],15,14,8,8,668,34524493
['Radiology'],19,17,6,6,164,33264805
['Emergency Medicine'],3,4,10,9,188,31822228
['Psychiatry'],14,12,5,6,85,31627238
['Sports Medicine'],8,10,10,1,586,31571547
['Geriatrics'],13,17,7,5,335,31398757
['Surgery'],9,12,11,0,28,31167264
['Urology'],12,10,4,3,512,31141821
['Obstetrics'],7,5,9,9,432,30786289
['Radiology'],18,15,6,4,355,30763963
['Occupational Medicine'],20,20,7,4,844,30304755
['Psychiatry'],16,19,6,6,154,30060288
['Cardiology'],15,16,6,4,158,29972852
['Neurology'],19,19,3,3,489,30935353
['Surgery'],18,18,3,4,56,31525789
"['Surgery', 'Cardiology']",17,17,7,6,201,31216577
['Psychiatry'],14,19,4,1,21,30743307
['Ophthalmology'],17,13,4,4,302,30566994
['Geriatrics'],14,12,4,8,145,30543143
['Urology'],10,12,5,1,945,30654397
['Obstetrics'],5,4,6,5,614,30513543
['Surgery'],16,18,6,5,910,30286488
['Radiology'],14,16,5,5,484,30103236
['Pathology'],20,19,4,5,901,29992871
['Radiology'],18,19,5,0,930,29734449
['Obstetrics'],16,8,10,7,101,31623006
['Psychiatry'],11,12,8,6,11,31448668
['Surgery'],12,14,6,2,189,31100760
['Ophthalmology'],6,6,6,0,518,30999363
['Emergency Medicine'],17,18,6,11,51,30769351
['Urology'],6,5,5,1,989,30357763
['Public Health'],11,10,7,5,670,30176682
['Urology'],15,18,6,7,458,29843184
['Dermatology'],12,11,6,3,255,31434126
['Pathology'],14,19,4,1,906,30939623
['Radiology'],16,13,10,8,70,30703826
['Psychiatry'],12,10,6,8,573,30558463
['Pathology'],20,17,4,6,103,29996157
['Public Health'],4,4,5,5,807,29462832
